<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
US2.GOOG;D;20100503;000000;526.53000;532.76370;525.11000;530.60000
US2.GOOG;D;20100504;000000;526.00000;526.05000;504.23000;506.00000
US2.GOOG;D;20100505;000000;500.90000;515.44000;500.51000;510.00010
US2.GOOG;D;20100506;000000;509.36000;517.52000;460.50000;498.67000
US2.GOOG;D;20100507;000000;500.00000;505.25200;481.68000;493.38000
US2.GOOG;D;20100510;000000;513.31000;522.76000;512.90500;521.66000
US2.GOOG;D;20100511;000000;514.41000;519.84000;508.22000;509.05000
US2.GOOG;D;20100512;000000;511.51000;511.98000;502.00000;505.09000
US2.GOOG;D;20100513;000000;515.63000;521.98000;510.50000;510.88000
US2.GOOG;D;20100514;000000;509.77000;510.00000;496.39000;508.29000
US2.GOOG;D;20100517;000000;506.78000;508.31350;498.43000;507.97000
US2.GOOG;D;20100518;000000;510.29000;510.97000;497.07000;498.37000
US2.GOOG;D;20100519;000000;496.26000;499.44000;487.74000;494.43000
US2.GOOG;D;20100520;000000;485.40000;485.50000;473.80450;475.01000
US2.GOOG;D;20100521;000000;469.00000;485.00000;464.40000;472.05000
US2.GOOG;D;20100524;000000;480.95000;489.79000;476.80000;477.16000
US2.GOOG;D;20100525;000000;467.56000;477.45000;464.01000;477.07000
US2.GOOG;D;20100526;000000;482.02000;489.76000;475.00000;475.47000
US2.GOOG;D;20100527;000000;484.86000;492.31000;481.05000;490.46000
US2.GOOG;D;20100528;000000;492.74000;493.45000;483.00000;485.63000
US2.GOOG;D;20100601;000000;480.32000;491.06000;480.12000;482.21000
US2.GOOG;D;20100602;000000;486.64000;493.86990;481.46000;493.37000
US2.GOOG;D;20100603;000000;495.11000;508.00000;494.70000;505.60000
US2.GOOG;D;20100604;000000;499.90000;509.25000;496.70000;498.72000
US2.GOOG;D;20100607;000000;499.10000;500.90990;483.15000;485.11000
US2.GOOG;D;20100608;000000;487.16000;488.84000;477.54000;484.80000
US2.GOOG;D;20100609;000000;487.22000;488.88000;472.00000;474.02000
US2.GOOG;D;20100610;000000;480.14000;488.50000;475.84000;487.01000
US2.GOOG;D;20100611;000000;482.97000;488.71000;481.62000;488.50000
US2.GOOG;D;20100614;000000;493.44120;494.50000;483.19000;483.19000
US2.GOOG;D;20100615;000000;483.08000;500.40000;482.18000;497.99000
US2.GOOG;D;20100616;000000;496.17000;504.00000;496.11000;501.27000
US2.GOOG;D;20100617;000000;503.45000;505.87000;496.69000;500.08000
US2.GOOG;D;20100618;000000;502.51000;503.47000;498.13000;499.99000
US2.GOOG;D;20100621;000000;500.06000;500.96700;484.89000;488.56000
US2.GOOG;D;20100622;000000;489.28000;496.60000;485.73000;486.25000
US2.GOOG;D;20100623;000000;485.82000;486.62000;478.25000;482.05000
US2.GOOG;D;20100624;000000;478.55000;482.75000;473.26100;475.10000
US2.GOOG;D;20100625;000000;477.05000;477.64600;470.56000;472.50000
US2.GOOG;D;20100628;000000;472.55000;477.55000;469.01000;472.08000
US2.GOOG;D;20100629;000000;463.40000;464.53000;451.12000;454.26000
US2.GOOG;D;20100630;000000;454.96000;457.83000;444.75000;444.95000
US2.GOOG;D;20100701;000000;447.84000;448.40000;433.65000;439.49000
US2.GOOG;D;20100702;000000;441.62000;442.28420;436.00000;436.55000
US2.GOOG;D;20100706;000000;444.00000;447.66990;433.63000;436.07000
US2.GOOG;D;20100707;000000;438.31000;451.29000;435.38000;450.20000
US2.GOOG;D;20100708;000000;453.55000;457.33000;449.66000;456.56000
US2.GOOG;D;20100709;000000;471.96000;473.26000;462.78000;467.49000
US2.GOOG;D;20100712;000000;472.62000;479.44000;471.08000;475.84000
US2.GOOG;D;20100713;000000;482.30000;492.99000;480.28000;489.23000
US2.GOOG;D;20100714;000000;489.82000;493.83000;486.46000;491.33600
US2.GOOG;D;20100715;000000;491.86000;494.70000;482.68000;494.02000
US2.GOOG;D;20100716;000000;469.12000;470.54000;459.52000;459.60500
US2.GOOG;D;20100719;000000;461.01000;469.65000;457.52000;466.18000
US2.GOOG;D;20100720;000000;461.03000;482.99000;460.60000;481.59000
US2.GOOG;D;20100721;000000;484.00000;485.70000;475.43010;477.50000
US2.GOOG;D;20100722;000000;483.23000;488.98000;482.48000;484.81000
US2.GOOG;D;20100723;000000;480.77000;490.59000;480.01000;490.06000
US2.GOOG;D;20100726;000000;489.10000;490.74900;484.88000;488.97000
US2.GOOG;D;20100727;000000;490.99000;497.50000;490.31000;492.63000
US2.GOOG;D;20100728;000000;494.94000;495.25000;482.67000;484.35000
US2.GOOG;D;20100729;000000;485.95000;488.88000;479.33000;484.99000
US2.GOOG;D;20100730;000000;479.65000;487.36000;479.14000;484.85000
